Time,CBS_Credit
1.00007,0
1.00007,0
1.00014,0
1.00014,0
1.00014,0
1.00014,0
1.00017,-2520
1.00017,-2520
1.00017,-2325.99
1.00017,-2325.99
1.0002,-1549.62
1.00023,-662.25
1.00025,-1.59162e-12
1.00025,0.03
1.00025,0.03
1.00025,0.03
1.00028,-2519.97
1.00028,-2519.97
1.00036,-1.36424e-12
1.00036,0.03
1.00036,0.03
1.00036,0.03
1.00039,-2519.97
1.00039,-2519.97
1.00047,-1.36424e-12
1.00047,0.03
1.00047,0.03
1.00047,0.03
1.0005,-2519.97
1.0005,-2519.97
1.00059,-1.36424e-12
1.00059,-1.36424e-12
1.00059,0
